Name,Text
NAUGHTY NANCY,"NAUGHTY NANCY
2013 CrossFit Games Championhsip WOD #7
4 Rounds for Time
600 meter berm Run (up and over)
25 Overhead Squats (140/95 lb)
Time Cap: 20 minutes"
THE LEGEND,"THE LEGEND
Chris Kyle Hero WOD
For Time
4 Pistols
25 Kettlebell Swings (54/35 lb)
50 Push-Ups
75 Pull-Ups
50 Push-Ups
25 Kettlebell Swings (54/35 lb)
4 Pistols"
THE PROGRM MASH WEEK 20 2022,"THE PROGRM MASH WEEK 20 2022
by John Singleton
10 rounds for time:
1 Legless rope climb 15 ft / Rope climb
1 OHS 100/70 kg*
5 Devils press 2 x 22,5/15kg
10 HSPU / Push-ups
200m Run

Time cap = 40 min

*From the floor. No more than 70% of 1RM."
THE EAGLE,"THE EAGLE
Challenge Workout by Dan John
8 Rounds for Time
8 Kettlebell Front Squats (2x24/12 kg)
20 meter Farmer's Carry (2x24/12 kg)
8 Kettlebell Front Squats (2x24/12 kg)"
MOSZER,"MOSZER
CrossFit Icehouse Hero WOD
9 Rounds for Time
300 meter Run
6 Air Squats
6 Pull-Ups
6 Box Jumps (20/24 in)
6 Burpees
6 Sit-Ups
6 Lunges (alternating)
6 Russian Kettlebell Swings (53/35 lb)
Wear a Weight Vest (20/14 lb)"
BONDY,"BONDY
British Hero WOD
AMRAP in 20 minutes
6 Pull-Ups
11 Burpees
24 Sit-Ups
Wear a Weight Vest (20/14 lb)"
PARTNER 3,"PARTNER 3
by Pete Marjamaa
For Time (with a Partner)
600 meter Run
30 Deadlifts (315/225 lb)
60 Double-Unders
600 meter Run
30 Hang Clean-and-Jerks (185/125 lb)
60 Double-Unders
600 meter Partner Run
30 Ring Muscle-Ups
60 Double-Unders"
CELIZ,"CELIZ
Hero WOD
For Time
1 mile Run
75 Hand Release Push-Ups
75 Air Squats
1 mile Run
75 Sit-Ups
75 Box Jumps (24/20 in)
Wear a ruck or a weighted vest (20/15 lb)"
(HOME)WORK #45,"(HOME)WORK #45
by Heather Black
1,000 rep bodyweight workout
4 rounds, 25 reps each
push ups
squats
tricep dips
v-ups
lunges, left leg
plank shoulder taps
lunges, right leg
bicycle crunches
mountain climbers
glute bridges"
DUMBBELL DEMONS,"DUMBBELL DEMONS
Assault Fitness Benchmark WOD
5 Rounds for Time
5 Single Arm Dumbbell Snatches (75/40 lb)
10 Dumbbell Lunges (75/40 lb)
15 GHD Sit-Ups
20 calorie Assault Air Bike"
BELL & ROPE,"BELL & ROPE
by Juan Jimenez
For Time
25-20-15-10-5 American Kettlebell Swings (70/53 lb)
50-40-30-20-10 Double-Unders
25-20-15-10-5 Goblet Squats (70/53 lb)"
DRAGO,"DRAGO
by Luke Downing
For Time
100 American Kettlebell Swings (24/16 kg)
200 Russian Kettlebell Swings (24/16 kg)
*Every time you drop the kettlebell, perform:
5 Burpees
10 Push-Ups
15 Air Squats"
WILL,"WILL
Hero WOD for William Moden
6 Rounds for Time
14 Back Squats (135/95 lb)
19 Deadlifts (135/95 lb)"
OPEN 15.2,"OPEN 15.2
2015 CrossFit Games Open WOD
For As Long As Possible
From 0:00-3:00, 2 rounds of:
10 Overhead Squats (95/65 lb)
10 Chest-to-Bar Pull-Ups

From 3:00-6:00, 2 rounds of:
12 Overhead Squats (95/65 lb)
12 Chest-to-Bar Pull-Ups

From 6:00-9:00, 2 rounds of:
14 Overhead Squats (95/65 lb)
14 Chest-to-Bar Pull-Ups

Follow the pattern until you fail to complete both rounds."
MALTZ,"MALTZ
Hero WOD
For Time
400 meter Run
50 Pull-Ups
100 meter Farmer's Carry (2x50/25 lb)
50 Dips
100 Push-Ups
50 Knees-to-Elbows
100 Sit-Ups
400 meter Run"
LIVING ROOM MASH 1,"LIVING ROOM MASH 1
Home WOD by WOD Roulette
50-40-30-20-10 Reps for Time
Burpees
Air Squats
Push-Ups
Sit-Ups"
UPPER BODY CINDY,"UPPER BODY CINDY
Coach Creation WOD
AMRAP in 15 minutes
5 Handstand Push-Ups
10 Pull-Ups
15 Push-Ups"
SHER,"SHER
Australian Hero Games WOD
For Time
10-9-8-7-6-5-4-3-2-1 Reps of:
Squat Cleans (75% BW)
20-18-16-14-12-10-8-6-4-2 Reps of:
Burpee Strict Pull-Ups
30-27-24-21-18-15-12-9-6-3 Reps of:
Double-Unders
Time Cap: 60 minutes"
OPEN 19.2,"OPEN 19.2
2019 CrossFit Games Open Workout #2
AMRAP in 20 minutes
Beginning on an 8-minute clock, complete as many reps as possible of:
25 Toes-to-Bars
50 Double-Unders
15 Squat Cleans (135/85 lb)
25 Toes-to-Bars
50 Double-Unders
13 Squat cleans (185/115 lb)

If completed before 8 minutes, add 4 minutes to the clock and proceed to:
25 Toes-to-Bars
50 Double-Unders
11 Squat Cleans (225/145 lb)

If completed before 12 minutes, add 4 minutes to the clock and proceed to:
25 Toes-to-Bars
50 Double-Unders
9 Squat Cleans (275/175 lb)

If completed before 16 minutes, add 4 minutes to the clock and proceed to:
25 Toes-to-Bars
50 Double-Unders
7 Squat Cleans (315/205 lb)

Time Cap: 20 minutes"
THE TRIPLET,"THE TRIPLET
2010 CrossFit/USA Weightlifting Open WOD
AMRAP in 10 minutes
6 Squat Cleans (55/30 kg)
12 Pull-Ups
24 Double-Unders"
THE BELLBOWL,"THE BELLBOWL
by Luke Downing
For Time
400 meter Run
40 Russian Kettlebell Swings (24/16 kg)
40 Kettlebell Taters (24/16 kg)
300 meter Run
30 Russian Kettlebell Swings (24/16 kg)
30 Kettlebell Taters (24/16 kg)
200 meter Run
20 Russian Kettlebell Swings (24/16 kg)
20 Kettlebell Taters (24/16 kg)
100 meter Run
10 Russian Kettlebell Swings (24/16 kg)
10 Kettlebell Taters (24/16 kg)"
WES,"WES
CrossFit Hero WOD
For Time
800 meter Run (with 25/15 lb Plate)
Then:
14 Rounds of:
5 Strict Pull-Ups
4 Burpee Box Jumps (24/20 in)
3 Cleans (185/135 lb)
Then:
800 meter Run (with 25/15 lb Plate)"
PARTNER 2,"PARTNER 2
by Pete Marjamaa
For Time (with a Partner)
4,000 meter Row
3,000 meter Bike
2,000 meter Ski
1,000 meter Run
Every 5 minutes, each partner completes:
10 Bar Facing Burpees
10 Push Presses (95/65 lb)
3 Ring Muscle-Ups"
BARRAZA,"BARRAZA
Hero WOD
AMRAP in 18 minutes
200 meter Run
9 Deadlift (275/185 lb)
6 Burpee Bar Muscle-Ups"
ROUSE 410,"ROUSE 410
by Jianpeng Liu
For Time
100 Deadlifts (135/95 lb)
100 Power Cleans (115/85 lb)
100 Power Snatches (95/65 lb)
100 Overhead Squats (75/55 lb)
10 Man Makers (2x20/15 kg)"
MAGGIE,"MAGGIE
CrossFit ""Girl"" Benchmark WOD
5 Rounds for Time
20 Handstand Push-Ups
40 Pull-Ups
60 Pistols (Alternating Legs)"
RAYMOND MURPHY,"RAYMOND MURPHY
555 Fitness Hero WOD
5 Rounds for Time
25 Double-Unders
35 Kettlebell Swings (24/16 kg)
45 Air Squats"
ANNABELLE,"ANNABELLE
by Luke Downing
For Time
50 Russian Kettlebell Swings (24/16 kg)
104 Goblet Squats (24/16 kg)
50 Russian Kettlebell Swings (24/16 kg)
104 Kettlebell Ballistic Rows (24/16 kg)
50 Russian Kettlebell Swings (24/16 kg)
104 Kettlebell Push Presses (24/16 kg)
50 Russian Kettlebell Swings (24/16 kg)
104 Goblet Squats (24/16 kg)
50 Russian Kettlebell Swings (24/16 kg)"
HONEY BADGER,"HONEY BADGER
CrossFit Albuquerque Hero WOD
AMRAP (in a team of 3) in 30 minutes
30 Squat Cleans (95/75 lb)
30 Pull-Ups
800 meter Run (together)"
THE WALKING DEADLIFT,"THE WALKING DEADLIFT
Shocktober WOD by Paradiso CrossFit
5 Rounds for Time
10 Unbroken Deadlifts (225/155 lb)
50 foot Single-Arm Dumbbell Overhead Walking Lunges (50/35 lb)"
STEPHEN RUSSELL,"STEPHEN RUSSELL
555 Fitness Hero WOD
For Time
100 Dumbbell Squat Cleans (2x35/25 lb)
3 Burpees at the top of each minute"
IRON SHEIK,"IRON SHEIK
by Luke Downing
5 Rounds for Time
2 Right-Arm Kettlebell Turkish Get-Ups (24/16 kg)
2 Left-Arm Kettlebell Turkish Get-Ups (24/16 kg)
8 Hindu Push-Ups
24 Hindu Air Squats"
SMETTE,"SMETTE
CrossFit Fargo Hero WOD
For Time (with a Partner)
4,000/3,000 meter Row

While Partner A Rows, Partner B completes AMRAP of:
5 Toes-to-Bars
10 Wall Ball Shots (20/14 lb)
15 Push-Ups

Partners switch as necessary"
KJALL,"KJALL
CrossFit Svea Memorial WOD
AMRAP (in a Team of 3) in 45 minutes
Buy-In:
1,962 meter Row
210 Back Squats (50/35 kg)
Then, AMRAP in remaining time of:
57 Burpees
57 Deadlifts (80/55 kg)
57 Kettlebell Swings (24/20 kg)"
GRIP AND RIP,"GRIP AND RIP
by Ben Bergeron
For Time
From 0:00, perform:
21 Burpees
1 Round of “Dumbbell DT” (2x50/35 lb)
18 Burpees
1 Round of “Dumbbell DT” (2x50/35 lb)
15 Burpees
1 Round of “Dumbbell DT” (2x50/35 lb)
12 Burpees
1 Round of “Dumbbell DT” (2x50/35 lb)

From 10:00, perform:
21 Air Squats Hops Over Dumbbell
1 Round of “Dumbbell DT” (2x50/35 lb)
18 Air Squats Hops Over Dumbbell
1 Round of “Dumbbell DT” (2x50/35 lb)
15 Air Squats Hops Over Dumbbell
1 Round of “Dumbbell DT” (2x50/35 lb)
12 Air Squat Hops Over Dumbbell
1 Round of “Dumbbell DT” (2x50/35 lb)

1 Round of “Dumbbell DT” consists of: 12 Deadlifts, 9 Hang Power Cleans, and 6 Push Jerks"
TOLU,"TOLU
by David Scharff
21-15-9
clean and jerks @95
burpees over the bar

21-15-9
squat snatches @95
cal bike"
KNIGHT,"KNIGHT
Hyrox Workout of the Week
AMRAP (with a Partner) in 30 minutes
1,000 meter Ski Erg
1,000 meter Row
50 Burpee Broad Jumps"
MIRON,"MIRON
CrossFit Hero WOD for Mirosław Łucki
5 Rounds for Time:
800 meter Run
23 Back Squats (¾ Body Weight)
13 Deadlifts (1 ½ Body Weight)"
ROBERTS,"ROBERTS
Hyrox Workout of the Week
2 Rounds for Time (with a Partner)
200 meter Run / Air Squats
200 meter Run / Burpees
200 meter Run / Hand Release Push-Ups"
BELL SNATCHER,"BELL SNATCHER
by Luke Downing
For Time
12-10-8-6-4-2 Reps of:
Kettlebell Snatches (each arm, alternating)
After every round, perform:
8 Burpees
16 Prison Squats"
RUN AND GET FRAN,"RUN AND GET FRAN
CrossFit Anarchy Benchmark WOD
For Time
400 meter Run
21 Thrusters (40/30 kg)
21 Pull-Ups

400 meter Run
15 Thrusters (40/30 kg)
15 Pull-Ups

400 meter Run
9 Thrusters (40/30 kg)
9 Pull-Ups"
"DEVIL IN, DEVIL OUT","DEVIL IN, DEVIL OUT
by WeightvestWOD
Buy in: 15 devil presses
Then, 3 rounds of:
8 burpees
12 DB snatches
16 toes to bar
Cash out: 15 devil presses"
HAMILTON,"HAMILTON
CrossFit Hero WOD
3 Rounds For Time
1,000 meter Row
50 Push-Ups
1,000 meter Run
50 Pull-Ups"
13 HEROES OF KABUL,"13 HEROES OF KABUL
Roseville CrossFit Hero WOD
AMRAP in 26 minutes
31 Double-Unders
25 Pull-Ups
23 Push-Ups
23 Air Squats
23 AbMat Sit-Ups
22 Kettlebell Swings (53/35 lb)
22 calorie Row
22 Toes-to-Bars
20 Wall Ball Shots (20/14 lb)
20 Box Jumps (24/20 in)
20 Alternating Dumbbell Snatches (50/35 lb)
20 Burpees
20 Dumbbell Thrusters (2x50/35 lb)

Cash-Out: 3 minute Plank Hold"
BANE,"BANE
by Ben Bergeron
For Time
40 Handstand Push-Ups
20 Muscle-Ups
10 rounds of Macho Man (185/135 lb)*
*1 Round of Macho Man is:
3 Power Cleans (185/135 lb)
3 Front Squats (185/135 lb)
3 Push Jerks (185/135 lb)"
BARBELL BLITZ,"BARBELL BLITZ
Assault Fitness Benchmark WOD
AMRAP in 20 minutes
3 Overhead Squats (95/65 lb)
6 Overhead Lunges (95/65 lb)
9 Power Snatches (95/65 lb)
12 Push-Ups
15 calorie Assault Air Bike"
PAINSTORM VII,"PAINSTORM VII
Classic Benchmark WOD
For Time
50-40-30-20-10 Air Squats
45-35-25-15-5 Push-Ups
400 meter Run
40-32-24-16-8 Left-Arm Dumbbell Snatches (50/35 lb)
36-28-20-12-4 Right-Arm Dumbbell Snatches (50/35 lb)
400 meter Run
30-24-18-12-6 Box Jumps (24/20 in)
27-21-15-9-3 Pull-Ups
400 meter Run
20-16-12-8-4 Dumbbell Burpee Hang Squat Clean Thrusters (50/35 lb)
18-14-10-6-2 Ring Dips
400 meter Run
10-8-6-4-2 Handstand Push-Ups
9-7-5-3-1 Pistols (L+R=1)
400 meter Run"
ROW TO HELL,"ROW TO HELL
by Andrew Martin
For Time
2,000 meter Row
30 Devil Presses (2x50/35 lb)"
RUCK,"RUCK
2019 CrossFit Games (Championships) WOD #3
For Time
6000 meter Ruck Run
Male and Female: 20-30-40-50 lb, increasing each lap
Time Cap: 40 minutes"
OPEN 11.6,"OPEN 11.6
2011 CrossFit Games Open WOD
AMRAP in 7 minutes
3 Thrusters (100/65 lb)
3 Chest-to-Bar Pull-Ups
6 Thrusters (100/65 lb)
6 Chest-to-Bar Pull-Ups
9 Thrusters (100/65 lb)
9 Chest-to-Bar Pull-Ups
If you complete the round of 9, complete a round of 12, then go on to 15, etc."
BEAR DRYLLS,"BEAR DRYLLS
by Luke Downing
AMRAP in 15 minutes
5 Burpees
10 Push-Ups
15 Air Squats
6 meter Bear Crawl (3 meter there and back)"
TEARJERKER,"TEARJERKER
Assault Fitness Benchmark WOD
5 Rounds for Time
10 Push Presses (95/65 lb)
15 calorie Assault Air Bike
10 Sumo Deadlift High-Pulls (95/65 lb)
15 Sit-Ups
10 Front Squats (95/65 lb)"
DAY 1,"DAY 1
by Pete Marjamaa
AMRAP in 20 minutes
20 Air Squats
20 Sit-Ups
10/7 Handstand Push-Ups"
TATERS ‘N’ BURPEES,"TATERS ‘N’ BURPEES
by Luke Downing
For Time
20-18-16-14-12-10-8-6-4-2 reps of:
Kettlebell Taters (24/16 kg)
2-4-6-8-10-12-14-16-18-20 reps of:
Burpees"
ANTIPOLIS HOME WOD 73,"ANTIPOLIS HOME WOD 73
CrossFit Antipolis Home WOD
4 Rounds for Time
50 meter Kettlebell Farmer's Carry (53/35 lb)
40 Double-Unders
12 Ring Push-Ups

Rest 2 minutes

Time Cap: 15 minutes"
PARTNER 1,"PARTNER 1
by Pete Marjamaa
AMRAP (with a Partner) in 25 minutes
50 Clusters (135/95 lb)
1,000 meter Run
50 Deadlifts (275/185 lb)
1,000 meter Run
50 Bar Facing Burpees
1,000 meter Run"
230222,"230222
by WeightvestWOD
EMOM 21:
1: 15 KB goblet squats
2: 50 double unders
3: 12 DB push presses"
CINDY BRO STYLE,"CINDY BRO STYLE
Coach Creation WOD
AMRAP in 15 minutes
5 Pendlay Rows (95/65 lb)
10 Strict Curls (65/45 lb)
15 Push-Ups"
SEVEN DEADLY SINS,"SEVEN DEADLY SINS
Classic Benchmark WOD
For Time
10 Chest-to-Bar Pull-Ups
20 Toes-to-Bars
30 Deadlifts (185/135 lb)
100 Double-Unders
30 Box Jumps (24/20 in)
20 Burpees
10 Cleans (185/135 lb)"
WESLEY’S WOD,"WESLEY’S WOD
CrossFit Recreate Memorial WOD
For Time (with a Partner)
Buy-In (share):
56 Box Jump-Overs

Then, 22 rounds of (share):
5 Handstand Push-Ups
27 Double-Unders
3 Power Cleans (105/155 lb)

Cash-Out (together):
1,108 meter Run"
TYRANT 22,"TYRANT 22
CrossFit Unsung Hero WOD
AMRAP in 22 minutes
22 Deadlifts (275/185 lb)
22 Wall Ball Shots (20/14 lb)
22 Toes-to-Bars
22 Hand Release Push-Ups"
"1,000 METER ROW","1,000 METER ROW
2020 CrossFit Games Phase 1 WOD #4
For Time
1,000 meter Row"
THE GENTLEMAN,"THE GENTLEMAN
CrossFit 1298 Memorial WOD
AMRAP in 22 minutes
22 Dumbbell Snatches (22.5x15 kg)
4 Man Makers (2x22.5/15 kg)
20 Burpees
20 Single Dumbbell Front Squats (22.5/15 kg)"
MERCURY,"MERCURY
Hyrox Workout of the Week
For Time
5 Rounds of:
400 meter Run
25 meter Sled Push
Rest 5 minutes
Directly into, 5 Rounds of:
400 meter Run
25 meter Sled Pull
Time Cap: 45 minutes"
1/4 MILE FOR HUMANITY,"1/4 MILE FOR HUMANITY
GarageGymAthlete Benchmark WOD
For Time
400 meter Front Rack Lunges (45/35 lb)
*Every 10 lunges, perform:
5 Push Presses (45/35 lb)"
200411,"200411
SYLB 2 via Main Site Daily WOD
For Time
100 Double-Unders
21 Burpees
75 Double-Unders
15 Burpees
50 Double-Unders
9 Burpees"
TRIPLE-G CHIPPER,"TRIPLE-G CHIPPER
2017 CrossFit Games (Championships) WOD #6
For Time
100 Pull-Ups
80 GHD Sit-Ups
60 Pistols (alternating legs)
40 calorie Row
20 Dumbbell Push Presses (100/70 lb)
Time Cap: 15 minutes"
DECK OF FITNESS,"DECK OF FITNESS
Home WOD by Sam Briggs
AMRAP in 20 minutes
Pull a random card and perform the number of reps of the corresponding movement for that card.

Hearts = Push-Ups
Spades = Jump Lunges
Diamonds = Sit-Ups
Clubs = Air Squats
Jokers = 15 Burpees

Aces = 1 rep
Jack = 11
Queen = 12
King = 13 reps"
THREE FATHERS,"THREE FATHERS
Hero WOD
For Time
1,000 meter Run
100 Push-Ups
200 Sit-Ups
300 Air Squats
1,000 meter Run"
CARLA,"CARLA
The Grinder, CrossFit Operations Order #2
5 Rounds for Time (in a Team of 4)
400 meter Run (together)
30 Dumbbell Deadlifts (2x50/35 lb) (each)
30 Sit-Ups (each)"
LUCY,"LUCY
CrossFit Grit Benchmark WOD
5 Rounds for Time
5 Pull-ups
10 Burpees
400 meter Run"
THE HOPPER,"THE HOPPER
2007 CrossFit Games Championship WOD #2
For Time
1,000 meter Row

Then, 5 Rounds of:
25 Pull-Ups
7 Push Jerks (135/85 lb)"
PAINSTORM I,"PAINSTORM I
Classic Benchmark WOD
For Time
3 Rounds of:
400 meter Run
21 Kettlebell Swings (1.5/1 pood)
12 Pull-Ups
Directly into:
10 Pull-Ups
10 Kettlebell Swings (1.5/1 pood)
15 Push-Ups
200 meter Run
20 Pull-Ups
20 Kettlebell Swings (1.5/1 pood)
30 Push-Ups
400 meter Run
40 Pull-Ups
40 Kettlebell Swings (1.5/1 pood)
60 Push-Ups
800 meter Run
Finally, AMRAP in 10 minutes:
Single-Arm Kettlebell Snatches (1.5/1 pood)"
PRINCE PHILIP,"PRINCE PHILIP
Grizz Phys Memorial WOD
EMOM For Total Reps
10 Squat Jumps
6 Hand Release Push-Ups
21 Up-Downs
Max Burpees

Wear a Weight Vest (10/6 kg)

*Workout ends when athlete completed 99 Burpees."
SUFFER IN PLACE,"SUFFER IN PLACE
by Brendan Walcoff
AMRAP (with a Partner) in 18 minutes
6 Rounds of:
1 minute Plank Hold / Push-Ups
1 minute Wall Sit Hold / Jumping Squats
1 minute Handstand Hold / Hollow Rocks
One partner does the hold while the other does the movement. Swap after each completed 3 minute round."
KETTLE-BELLA,"KETTLE-BELLA
by David Scharff
emom 10 min
1 Single arm kettlebell clean
1 Single arm kettlebell shoulder-to-overhead
1 Single arm kettlebell front Squat
1 Single arm kettlebell shoulder-to-Overhead

+

the other side:
1 Single arm kettlebell clean
1 Single arm kettlebell shoulder-to-overhead
1 Single arm kettlebell front Squat
1 Single arm kettlebell shoulder-to-Overhead"
DT & CINDY HAD A BABY,"DT & CINDY HAD A BABY
by Heather Black
5 rounds
1 round ""DT""
2 rounds ""Cindy""
""DT"" =
12 deadlifts (155/105)
9 hang power cleans
6 push jerks
""Cindy"" =
5 pull ups
10 push ups
15 air squats"
I CAN’T BREATHE,"I CAN’T BREATHE
Memorial WOD for George Floyd
For Time
1,600 meter Run
30 Burpees
800 meter Run
20 Burpees
400 meter Run
10 Burpees
400 meter Run
20 Burpees
800 meter Run
30 Burpees
1,600 meter Run"
DEAD LEG,"DEAD LEG
Assault Fitness Benchmark WOD
AMRAP in 20 minutes
15 calorie Assault Air Bike
10 Thrusters (95/65 lb)
5 Box Jumps (30/24 in)"
LIMA,"LIMA
by Justin Sloan
For Time
10-9-8-7-6-5-4-3-2-1 Reps of:
Deadlifts (225/155 lb)
Alternating Dumbbell Snatches (50/35 lb)
Goblet Squats (50/35 lb)"
STIMULUS TRAVEL WOD 9,"STIMULUS TRAVEL WOD 9
CrossFit Stimulus Travel WOD
5 Rounds for Time
10 Push-Ups
15 Sit-Ups
20 Air Squats"
EL PASO 23,"EL PASO 23
Wildfire CrossFit Memorial WOD
8 Rounds for Time
3 Power Cleans (185/125 lb)
23 Kettlebell Swings (53/35 lb)
9 Burpees
15 Deadlifts (185/125 lb)
200 meter Run

Time Cap: 45 minutes"
NO EQUIPMENT MADNESS,"NO EQUIPMENT MADNESS
by Juan Jimenez
For Time
50-40-30-20-10 reps of:
Burpee Jumping Air Squats
Push-Ups"
TRIPLE SWEAT,"TRIPLE SWEAT
by Luke Downing
EMOM for 24 minutes
Minute 1: 15 calorie Row
Minute 2: 15 Burpees
Minute 3: 30 Air Squats"
OPEN 19.4,"OPEN 19.4
2019 CrossFit Games Open Workout #4
For Total Time
3 Rounds of:
10 Snatches (95/65 lb)
12 Bar-Facing Burpees
3 minutes Rest
Then, 3 rounds of:
10 Bar Muscle-Ups
12 Bar-Facing Burpees
Time cap: 12 minutes"
LADDER UP,"LADDER UP
Assault Fitness Benchmark WOD
AMRAP in 7 minutes
1 Pull-Up
2 Push Presses (75/55 lb)
2 Pull-Ups
4 Push Presses (75/55 lb)
Continue with this pattern, adding 1 Pull-Up and 2 Push Presses each round."
OPEN 20.3,"OPEN 20.3
2020 CrossFit Open WOD #3
For Time
21-15-9 Reps of:
Deadlifts (225/155 lb)
Handstand Push-Ups

Then, 21-15-9 Reps of:
Deadlifts (315/205 lb)
50 foot Handstand Walk

Time Cap: 9 minutes"
GHOST OF KYIV,"GHOST OF KYIV
CrossFit Gallo Nero Hero WOD
AMRAP in 30 minutes
6 Strict Presses (40/25 kg)
20 Box Jump Overs (24/20 in)
22 Double-Unders

Every minute on the minute, complete:
3 Push-Ups"
PUMP&WALK,"PUMP&WALK
by Palo Masaryk
Do 20xEMOM:
Odd- 2 Bench presses /very heavy/
Even- 10m Sandbag carry"
DUTCH VS. SPEAL,"DUTCH VS. SPEAL
CrossFit Benchmark WOD
For Time
10 Thrusters (135/95 lb)
50 Double-Unders
8 Thrusters (135/95 lb)
40 Double-Unders
6 Thrusters (135/95 lb)
30 Double-Unders
4 Thrusters (135/95 lb)
20 Double-Unders
2 Thrusters (135/95 lb)
10 Double-Unders"
HALL,"HALL
Hero WOD
5 Rounds for Time
3 Cleans (225/155 lb)
200 meter Sprint
20 Kettlebell Snatches (1.5/1 pood) (10 each arm)
2 minutes Rest"
CAPT. JENNIFER CASEY,"CAPT. JENNIFER CASEY
Hero WOD
For Time
Buy-In: 50 Deadlifts (275/185 lb)

Then, 5 Rounds of:
16 Single-Arm Dumbbell Push Jerks (75/55 lb)
16 calorie Row

Cash-Out: 2,000 meter Run"
MANUEL,"MANUEL
CrossFit Hero WOD
5 Rounds for Reps in 50 minutes
3 minutes of Max Rope Climbs
2 minutes of Max Air Squats
2 minutes of Max Push-Ups
3 minutes to Run 400 meters
Wear a weight vest (20/14 lb)"
STAIRWAY TO HEAVEN,"STAIRWAY TO HEAVEN
GarageGymAthlete Benchmark WOD
For Time
Part A
From 0:00-20:00, EMOM of:
20 Box Step-Ups (40/30 lb Weight Vest)
Rest 3 minutes
Part B
From 23:00-43:00, EMOM of:
20 Box Step-Ups (20/14 lb Weight Vest)
Rest 3 minutes
Part C
Finally, from 46:00-1:06:00, perform:
400 Box Step-Ups"
MARK 35,"MARK 35
Brandford CrossFit Memorial WOD
7 Rounds For Time
5 Bench Presses (225/155 lb)
5 Power Cleans (225/155 lb)
35 Double-Unders"
PHEEZY,"PHEEZY
CrossFit Hero WOD
3 Rounds For Time
5 Front Squats (165/105 lb)
18 Pull-Ups
5 Deadlifts (225/155 lb)
18 Toes-to-Bars
5 Push Jerks (165/105 lb)
18 Hand-Release Push-Ups"
WADE,"WADE
CrossFit Hero WOD
For Time
1,200 meter Run

Then, 4 rounds of:
12 Strict Pull-Ups
9 Strict Dips
6 Strict Handstand Push-Ups

1,200 meter Run

Wear a Weight Vest (20/14 lb)"
MICHAEL BOYLE,"MICHAEL BOYLE
555 Fitness Hero WOD
7 Rounds for Time
5 Push Presses (155/105 lb)
10 Kettlebell Swings (32/24 kg)
20 Double-Unders"
"WESTY’S 10,000","WESTY’S 10,000
CrossFit Westgeist Hero WOD
For Time
100 Double Dumbbell Ground-to-Overhead (2x50/35 lb)
Wear a Weight Vest or Ruck (70/50 lb)"
MARTIN BELL,"MARTIN BELL
CrossFit Hero WOD (aka: ""Martin"")
For Time (with a Partner)
2,000 meter Row
100 Deadlifts (bodyweight)
50 Thrusters (43/30 kg)
1,000 meter Row
100 Hand-Release Push-Ups
50 Pull-Ups
500 meter Row
100 AbMat Sit-Ups
100 Wall Ball Shots (20/14 lb)"
BOAT RACE,"BOAT RACE
by Ben Bergeron
3 Rounds for Time
500 meter Row
400 meter Run
Rest 3 minutes between rounds"
ASSAULT FINISHER,"ASSAULT FINISHER
Assault Fitness Benchmark WOD
AMRAP in 20 minutes
5 Squat Cleans (135/95 lb)
10 Bent Over Rows (135/95 lb)
15 Push-Ups
20 calorie Assault Air Bike"
MAXIM 56,"MAXIM 56
The Movement Training Day Hero WOD
For Time (with a Partner)
Buy-In: 56 second Handstand Hold / Wall Sit
Then, each athlete completes:
56 Burpees
56 Flutter Kicks (4-count)
56 Walking Lunges
56 Hand Release Push-Ups
56 Air Squats
Cash-Out: 5,600 meter Run"
BLACK FRIDAY,"BLACK FRIDAY
by Lisa Reither
For Time (with a Partner)
200 Box Jump Overs (24/20 in)
150 Wall Balls (20/14 lb)
100 Ground-to-Overheads (100/70 lb)
75 Bar Over Burpees
50 Pull-Ups
Partition the work above any way
Buy-In/Cash-Out: 25-foot Handstand Walk (each)"
PHILIP PETTI,"PHILIP PETTI
555 Fitness Hero WOD
For Time
20 Thrusters (135/95 lb)
20 Burpees
20 Cleans (135/95 lb)
20 Sit-Ups
20 Shoulder-to-Overheads (135/95 lb)
20 Push-Ups
20 Overhead Squats (135/95 lb)
20 Handstand Push-Ups
20 Front Squats (135/95 lb)
20 Air Squats"
PAY THE MAN,"PAY THE MAN
Mako Athletics WOD
For Time
Buy-In: 1,000 meter Row
5 Squat Clean to Overheads (185/125 lb)
15 Pull-Ups
4 Squat Clean to Overheads (185/125 lb)
12 Pull-Ups
3 Squat Clean to Overheads (185/125 lb)
9 Pull-Ups
2 Squat Clean to Overheads (185/125 lb)
6 Pull-Ups
1 Squat Clean to Overhead (185/125 lb)
3 Pull-Ups"
FREAK,"FREAK
CrossFit Benchmark WOD
For Time
21 Thrusters (95/65 lb)
21 Pull-Ups
800 meter Run
30 Kettlebell Swings (2/1.5 pood)
30 Pull-Ups
50 Double-Unders
50 AbMat Sit-Ups
400 meter Run
30 Box Jumps (24/20 in)
30 Wall Ball Shots (20/16 lb)"
C2 TRIATHLON,"C2 TRIATHLON
2019 Asia CrossFit Championship Sanctional WOD #3 (aka: ""ACC Sanctional 19.3"")
For Time
6,000 meter Bike Erg
4,000 meter Row
2,000 meter Ski Erg
Time Cap: 35 minutes"
